Locus	Latitude	Longitude
Tyne3_36	55.039	-1.421
Tyne3_37	55.039	-1.421
Tyne3_38	55.039	-1.421
Tyne3_39	55.039	-1.421
Wear_01	54.913	-1.368
Wear_02	54.913	-1.368
Wear_03	54.913	-1.368
Wear_04	54.913	-1.368
Wear_05	54.913	-1.368
Wear_06	54.913	-1.368
Wear_07	54.913	-1.368
Wear_08	54.913	-1.368
Wear_09	54.913	-1.368
Wear_10	54.913	-1.368
Wear_11	54.913	-1.368
Wear_12	54.913	-1.368
Wear_13	54.913	-1.368
Wear_14	54.913	-1.368
Wear_15	54.913	-1.368
Wear_16	54.913	-1.368
Wear_17	54.913	-1.368
Wear_18	54.913	-1.368
Wear_19	54.913	-1.368
Wear_20	54.913	-1.368
Wear_21	54.913	-1.368
Wear_22	54.913	-1.368
Wear_23	54.913	-1.368
Wear_24	54.913	-1.368
Wear_25	54.913	-1.368
Wear_26	54.913	-1.368
Wear_27	54.913	-1.368
Wear_28	54.913	-1.368
Wear_29	54.913	-1.368
Wear_30	54.913	-1.368
Wear_31	54.913	-1.368
Wear_32	54.913	-1.368
Wear_33	54.913	-1.368
Wear_34	54.913	-1.368
Aln_01	55.385	-1.606
Aln_02	55.385	-1.606
Aln_03	55.385	-1.606
Aln_04	55.385	-1.606
Aln_05	55.385	-1.606
Aln_06	55.385	-1.606
Aln_07	55.385	-1.606
Aln_08	55.385	-1.606
Aln_09	55.385	-1.606
Aln_10	55.385	-1.606
Aln_11	55.385	-1.606
Aln_12	55.385	-1.606
Aln_13	55.385	-1.606
Aln_14	55.385	-1.606
Aln_15	55.385	-1.606
Aln_16	55.385	-1.606
Aln_17	55.385	-1.606
Aln_18	55.385	-1.606
Aln_19	55.385	-1.606
Aln_20	55.385	-1.606
Aln_21	55.385	-1.606
Aln_22	55.385	-1.606
Aln_23	55.385	-1.606
Aln_24	55.385	-1.606
Aln_25	55.385	-1.606
Aln_26	55.385	-1.606
Aln_27	55.385	-1.606
Aln_28	55.385	-1.606
Aln_29	55.385	-1.606
Aln_30	55.385	-1.606
Aln_31	55.385	-1.606
Aln_32	55.385	-1.606
Aln_33	55.385	-1.606
Aln_34	55.385	-1.606
Coq_01	55.339	-1.608
Coq_02	55.339	-1.608
Coq_03	55.339	-1.608
Coq_04	55.339	-1.608
Coq_05	55.339	-1.608
Coq_06	55.339	-1.608
Coq_07	55.339	-1.608
Coq_08	55.339	-1.608
Coq_09	55.339	-1.608
Coq_10	55.339	-1.608
Coq_11	55.339	-1.608
Coq_12	55.339	-1.608
Coq_13	55.339	-1.608
Coq_14	55.339	-1.608
Coq_15	55.339	-1.608
Coq_16	55.339	-1.608
Coq_17	55.339	-1.608
Coq_18	55.339	-1.608
Coq_19	55.339	-1.608
Coq_20	55.339	-1.608
Coq_21	55.339	-1.608
Coq_22	55.339	-1.608
Coq_23	55.339	-1.608
Coq_24	55.339	-1.608
Coq_25	55.339	-1.608
Coq_26	55.339	-1.608
Coq_27	55.339	-1.608
Coq_28	55.339	-1.608
Coq_29	55.339	-1.608
Coq_30	55.339	-1.608
Coq_31	55.339	-1.608
Coq_32	55.339	-1.608
Coq_33	55.339	-1.608
Eye_01	55.869	-2.091
Eye_02	55.869	-2.091
Eye_03	55.869	-2.091
Eye_04	55.869	-2.091
Eye_05	55.869	-2.091
Eye_06	55.869	-2.091
Eye_07	55.869	-2.091
Eye_08	55.869	-2.091
Eye_09	55.869	-2.091
Eye_10	55.869	-2.091
Eye_11	55.869	-2.091
Eye_12	55.869	-2.091
Eye_13	55.869	-2.091
Eye_14	55.869	-2.091
Eye_15	55.869	-2.091
Eye_16	55.869	-2.091
Eye_17	55.869	-2.091
Eye_18	55.869	-2.091
Eye_19	55.869	-2.091
Eye_20	55.869	-2.091
Eye_21	55.869	-2.091
Eye_22	55.869	-2.091
Eye_23	55.869	-2.091
Eye_24	55.869	-2.091
Eye_25	55.869	-2.091
Eye_26	55.869	-2.091
Eye_27	55.869	-2.091
Eye_28	55.869	-2.091
Eye_29	55.869	-2.091
Eye_30	55.869	-2.091
Eye_31	55.869	-2.091
Eye_32	55.869	-2.091
Eye_33	55.869	-2.091
Eye_34	55.869	-2.091
TWEED1_01	55.762	-1.996
TWEED1_02	55.762	-1.996
TWEED1_03	55.762	-1.996
TWEED1_04	55.762	-1.996
TWEED1_05	55.762	-1.996
TWEED1_06	55.762	-1.996
TWEED1_07	55.762	-1.996
TWEED1_08	55.762	-1.996
TWEED1_09	55.762	-1.996
TWEED1_10	55.762	-1.996
TWEED1_11	55.762	-1.996
TWEED1_12	55.762	-1.996
TWEED1_13	55.762	-1.996
TWEED1_14	55.762	-1.996
TWEED1_15	55.762	-1.996
TWEED1_16	55.762	-1.996
TWEED1_17	55.762	-1.996
TWEED1_18	55.762	-1.996
TWEED1_19	55.762	-1.996
TWEED1_20	55.762	-1.996
TWEED1_21	55.762	-1.996
TWEED1_22	55.762	-1.996
TWEED1_23	55.762	-1.996
TWEED1_24	55.762	-1.996
TWEED1_25	55.762	-1.996
TWEED1_26	55.762	-1.996
TWEED1_27	55.762	-1.996
TWEED1_28	55.762	-1.996
TWEED1_29	55.762	-1.996
TWEED1_30	55.762	-1.996
TWEED1_31	55.762	-1.996
TWEED1_32	55.762	-1.996
TWEED1_33	55.762	-1.996
TWEED1_34	55.762	-1.996
TWEED2_01	55.762	-1.996
TWEED2_02	55.762	-1.996
TWEED2_03	55.762	-1.996
TWEED2_04	55.762	-1.996
TWEED2_05	55.762	-1.996
TWEED2_06	55.762	-1.996
TWEED2_07	55.762	-1.996
TWEED2_08	55.762	-1.996
TWEED2_09	55.762	-1.996
TWEED2_10	55.762	-1.996
TWEED2_11	55.762	-1.996
TWEED2_12	55.762	-1.996
TWEED2_13	55.762	-1.996
TWEED2_14	55.762	-1.996
TWEED2_15	55.762	-1.996
TWEED2_16	55.762	-1.996
TWEED2_17	55.762	-1.996
TWEED2_18	55.762	-1.996
TWEED2_19	55.762	-1.996
TWEED2_20	55.762	-1.996
TWEED2_21	55.762	-1.996
TWEED2_22	55.762	-1.996
TWEED2_23	55.762	-1.996
TWEED2_24	55.762	-1.996
TWEED2_25	55.762	-1.996
TWEED2_26	55.762	-1.996
TWEED2_27	55.762	-1.996
TWEED2_28	55.762	-1.996
TWEED2_29	55.762	-1.996
TWEED2_30	55.762	-1.996
TWEED2_31	55.762	-1.996
TWEED2_32	55.762	-1.996
TWEED2_33	55.762	-1.996
TWEED2_34	55.762	-1.996
TWEED2_35	55.762	-1.996
TWEED2_36	55.762	-1.996
TWEED2_37	55.762	-1.996
TWEED2_38	55.762	-1.996
TWEED2_39	55.762	-1.996
TWEED2_40	55.762	-1.996
TWEED2_41	55.762	-1.996
TWEED2_42	55.762	-1.996
TWEED2_43	55.762	-1.996
TWEED2_44	55.762	-1.996
TWEED2_45	55.762	-1.996
TWEED2_46	55.762	-1.996
TWEED2_47	55.762	-1.996
TWEED2_48	55.762	-1.996
TWEED2_49	55.762	-1.996
TWEED2_50	55.762	-1.996
DEV_01	57.67184212425374	 -2.5120205009126155
DEV_02	57.67184212425374	 -2.5120205009126155
DEV_03	57.67184212425374	 -2.5120205009126155
DEV_04	57.67184212425374	 -2.5120205009126155
DEV_05	57.67184212425374	 -2.5120205009126155
DEV_06	57.67184212425374	 -2.5120205009126155
DEV_07	57.67184212425374	 -2.5120205009126155
DEV_08	57.67184212425374	 -2.5120205009126155
DEV_09	57.67184212425374	 -2.5120205009126155
DEV_10	57.67184212425374	 -2.5120205009126155
DEV_11	57.67184212425374	 -2.5120205009126155
DEV_12	57.67184212425374	 -2.5120205009126155
DEV_13	57.67184212425374	 -2.5120205009126155
DEV_14	57.67184212425374	 -2.5120205009126155
DEV_15	57.67184212425374	 -2.5120205009126155
DEV_16	57.67184212425374	 -2.5120205009126155
DEV_17	57.67184212425374	 -2.5120205009126155
DEV_18	57.67184212425374	 -2.5120205009126155
DEV_19	57.67184212425374	 -2.5120205009126155
DEV_20	57.67184212425374	 -2.5120205009126155
DEV_21	57.67184212425374	 -2.5120205009126155
DEV_22	57.67184212425374	 -2.5120205009126155
DEV_23	57.67184212425374	 -2.5120205009126155
DEV_24	57.67184212425374	 -2.5120205009126155
DEV_25	57.67184212425374	 -2.5120205009126155
DEV_26	57.67184212425374	 -2.5120205009126155
DEV_27	57.67184212425374	 -2.5120205009126155
DEV_28	57.67184212425374	 -2.5120205009126155
DEV_29	57.67184212425374	 -2.5120205009126155
DEV_30	57.67184212425374	 -2.5120205009126155
DEV_31	57.67184212425374	 -2.5120205009126155
DEV_32	57.67184212425374	 -2.5120205009126155
DEV_33	57.67184212425374	 -2.5120205009126155
URE_01	53.646	-0.207
URE_02	53.646	-0.207
URE_03	53.646	-0.207
URE_04	53.646	-0.207
URE_05	53.646	-0.207
URE_06	53.646	-0.207
URE_07	53.646	-0.207
URE_08	53.646	-0.207
URE_09	53.646	-0.207
URE_10	53.646	-0.207
URE_11	53.646	-0.207
URE_12	53.646	-0.207
URE_13	53.646	-0.207
URE_14	53.646	-0.207
URE_15	53.646	-0.207
URE_16	53.646	-0.207
URE_17	53.646	-0.207
URE_18	53.646	-0.207
URE_19	53.646	-0.207
URE_20	53.646	-0.207
URE_21	53.646	-0.207
URE_22	53.646	-0.207
Adur_01	50.830	-0.274
Adur_02	50.830	-0.274
Adur_03	50.830	-0.274
Adur_04	50.830	-0.274
Adur_05	50.830	-0.274
Adur_06	50.830	-0.274
Adur_07	50.830	-0.274
Adur_08	50.830	-0.274
Adur_09	50.830	-0.274
Adur_10	50.830	-0.274
Adur_11	50.830	-0.274
Adur_12	50.830	-0.274
Adur_13	50.830	-0.274
Adur_14	50.830	-0.274
Adur_15	50.830	-0.274
Adur_16	50.830	-0.274
Adur_17	50.830	-0.274
Adur_18	50.830	-0.274
Adur_19	50.830	-0.274
Adur_20	50.830	-0.274
Adur_21	50.830	-0.274
Adur_22	50.830	-0.274
Adur_23	50.830	-0.274
Adur_24	50.830	-0.274
Adur_25	50.830	-0.274
Adur_26	50.830	-0.274
Adur_27	50.830	-0.274
Adur_28	50.830	-0.274
Adur_29	50.830	-0.274
Adur_30	50.830	-0.274
Adur_31	50.830	-0.274
Adur_32	50.830	-0.274
Ouse_01	50.784	0.057
Ouse_02	50.784	0.057
Ouse_03	50.784	0.057
Ouse_04	50.784	0.057
Ouse_05	50.784	0.057
Ouse_06	50.784	0.057
Ouse_07	50.784	0.057
Ouse_08	50.784	0.057
Ouse_09	50.784	0.057
Ouse_10	50.784	0.057
Ouse_11	50.784	0.057
Ouse_12	50.784	0.057
Ouse_13	50.784	0.057
Ouse_14	50.784	0.057
Ouse_15	50.784	0.057
Ouse_16	50.784	0.057
Ouse_17	50.784	0.057
Ouse_18	50.784	0.057
Ouse_19	50.784	0.057
Ouse_20	50.784	0.057
Ouse_21	50.784	0.057
Ouse_22	50.784	0.057
Ouse_23	50.784	0.057
Ouse_24	50.784	0.057
Ouse_25	50.784	0.057
Ouse_26	50.784	0.057
Ouse_27	50.784	0.057
Ouse_28	50.784	0.057
Ouse_29	50.784	0.057
Ouse_30	50.784	0.057
Ouse_31	50.784	0.057
Ouse_32	50.784	0.057
Ouse_33	50.784	0.057
Ouse_34	50.784	0.057
Ouse_35	50.784	0.057
Ouse_36	50.784	0.057
Ouse_37	50.784	0.057
Ouse_38	50.784	0.057
Ouse_39	50.784	0.057
Ouse_40	50.784	0.057
Ouse_41	50.784	0.057
Ouse_42	50.784	0.057
Thames1_01	51.481	0.450
Thames1_02	51.481	0.450
Thames1_03	51.481	0.450
Thames1_04	51.481	0.450
Thames1_05	51.481	0.450
Thames1_06	51.481	0.450
Thames1_07	51.481	0.450
Thames1_08	51.481	0.450
Thames1_09	51.481	0.450
Thames1_10	51.481	0.450
Thames1_11	51.481	0.450
Thames1_12	51.481	0.450
Thames1_13	51.481	0.450
Thames2_01	51.481	0.450
Thames2_02	51.481	0.450
Thames2_03	51.481	0.450
